cluster id,user id
5,19020686
8,19020689
4,19020866
0,19021406
2,19021820
9,19021854
7,19023519
6,19023674
4,19029218
9,19029966
6,19030051
2,19031089
6,19031643
4,19032536
4,19032817
2,19032895
5,19032934
0,19033032
5,19033347
4,19033404
4,19033668
5,19033845
9,19033870
0,19034417
0,19034483
1,19035177
5,19035635
9,19037122
7,19041241
7,19041700
1,19041993
2,19042521
2,19042795
5,19042921
2,19043352
6,19044519
8,19044709
0,19044848
2,19045234
6,19046297
3,19047021
0,19047967
4,19048032
2,19059579
3,19062066
6,19063523
6,19063583
0,19063662
8,19063850
0,19063989
0,19064076
2,19064599
5,19064658
5,19064670
5,19064861
7,19064876
5,19066758
5,19070047
5,19070646
3,19071255
0,19071303
2,19071504
9,19071775
5,19071822
0,19072240
3,19072844
4,19073148
2,19073292
4,19073373
5,19073380
3,19073406
0,19073460
2,19073556
5,19073743
2,19074177
6,19074400
5,19074401
2,19074498
3,19075032
5,19075050
3,19075112
4,19075507
5,19075685
2,19075924
3,19076201
3,19076367
1,19076399
2,19077073
3,19077250
2,19077369
8,19077447
3,19078486
5,19083427
2,19083955
2,19084054
2,19084084
9,19084141
6,19084281
0,19084317
4,19085139
4,19085980
1,19086591
3,19088595
3,19088755
2,19095790
5,19095921
3,19099902
9,19100600
8,19103096
2,19103297
4,19110864
3,19112440
8,19117321
3,19125826
4,19136724
5,19140466
5,19203461
0,19267254
3,19540432
