id,percent_grade,date_joined,enroll_created_date,cert_status,certGrp
22857398,0.39,3/8/2019 17:14,3/8/2019 17:20,,Not certified (> 65% Grade)
22857549,0.43,3/8/2019 17:29,3/8/2019 17:29,,Not certified (> 65% Grade)
22857573,0.09,3/8/2019 17:31,3/8/2019 17:31,,Not certified (> 65% Grade)
22857661,0.45,3/8/2019 17:40,3/8/2019 17:41,,Not certified (> 65% Grade)
22857747,0.46,3/8/2019 17:47,3/8/2019 17:49,,Not certified (> 65% Grade)
22857837,0.02,3/8/2019 17:56,3/8/2019 17:57,,Not certified (> 65% Grade)
22857843,0.52,3/8/2019 17:57,3/8/2019 17:58,,Not certified (> 65% Grade)
22858105,0.45,3/8/2019 18:26,3/8/2019 18:26,,Not certified (> 65% Grade)
22858192,0.39,3/8/2019 18:35,3/8/2019 18:36,,Not certified (> 65% Grade)
22858690,0,3/8/2019 19:30,3/8/2019 19:30,,Not certified (> 65% Grade)
22859033,0.62,3/8/2019 20:14,3/8/2019 20:15,,Not certified (> 65% Grade)
22859250,0.46,3/8/2019 20:43,3/8/2019 20:44,,Not certified (> 65% Grade)
22859334,0.32,3/8/2019 20:55,3/8/2019 20:55,,Not certified (> 65% Grade)
8685800,0.26,10/21/2015 14:31,3/8/2019 20:58,,Not certified (> 65% Grade)
22860074,0.07,3/8/2019 22:50,3/8/2019 22:52,,Not certified (> 65% Grade)
22860165,0.37,3/8/2019 23:04,3/8/2019 23:05,,Not certified (> 65% Grade)
22860435,0.7,3/8/2019 23:59,3/9/2019 0:00,Pass,Certified (< 65% Grade)
22860715,0.42,3/9/2019 1:00,3/9/2019 1:07,,Not certified (> 65% Grade)
22862565,0.26,3/9/2019 7:03,3/9/2019 7:05,,Not certified (> 65% Grade)
22866133,0.39,3/9/2019 16:12,3/9/2019 16:16,,Not certified (> 65% Grade)
14092396,0.02,3/16/2017 19:33,3/9/2019 19:31,,Not certified (> 65% Grade)
22856027,0.59,3/8/2019 15:08,3/9/2019 21:28,,Not certified (> 65% Grade)
22877758,0.39,3/10/2019 21:35,3/10/2019 21:37,,Not certified (> 65% Grade)
22878634,0.46,3/11/2019 0:02,3/11/2019 0:09,,Not certified (> 65% Grade)
22880621,0.08,3/11/2019 5:17,3/11/2019 5:18,,Not certified (> 65% Grade)
22882512,0.33,3/11/2019 9:31,3/11/2019 9:31,,Not certified (> 65% Grade)
22883218,0.57,3/11/2019 10:51,3/11/2019 10:52,,Not certified (> 65% Grade)
22883254,0.02,3/11/2019 10:55,3/11/2019 10:56,,Not certified (> 65% Grade)
22884496,0.58,3/11/2019 13:08,3/11/2019 13:09,,Not certified (> 65% Grade)
22884602,0.32,3/11/2019 13:17,3/11/2019 13:31,,Not certified (> 65% Grade)
15044247,0.02,6/21/2017 21:22,3/11/2019 13:41,,Not certified (> 65% Grade)
22884842,0.27,3/11/2019 13:41,3/11/2019 13:44,,Not certified (> 65% Grade)
22885048,0.02,3/11/2019 13:58,3/11/2019 13:58,,Not certified (> 65% Grade)
22885323,0.3,3/11/2019 14:18,3/11/2019 14:18,,Not certified (> 65% Grade)
13831471,0.4,2/23/2017 14:57,3/11/2019 14:59,,Not certified (> 65% Grade)
22886186,0.47,3/11/2019 15:24,3/11/2019 15:25,,Not certified (> 65% Grade)
22886094,0.47,3/11/2019 15:16,3/11/2019 15:26,,Not certified (> 65% Grade)
22886492,0.07,3/11/2019 15:46,3/11/2019 15:56,,Not certified (> 65% Grade)
22886652,0.68,3/11/2019 16:00,3/11/2019 16:14,Pass,Certified (< 65% Grade)
22886946,0.47,3/11/2019 16:26,3/11/2019 16:28,,Not certified (> 65% Grade)
22887025,0.6,3/11/2019 16:33,3/11/2019 16:44,,Not certified (> 65% Grade)
22887498,0.46,3/11/2019 17:08,3/11/2019 17:26,,Not certified (> 65% Grade)
22887794,0.02,3/11/2019 17:34,3/11/2019 17:43,,Not certified (> 65% Grade)
22889201,0.6,3/11/2019 19:45,3/11/2019 19:46,,Not certified (> 65% Grade)
22888374,0.3,3/11/2019 18:24,3/11/2019 19:47,,Not certified (> 65% Grade)
22889244,0.36,3/11/2019 19:49,3/11/2019 20:16,,Not certified (> 65% Grade)
22889675,0.54,3/11/2019 20:37,3/11/2019 20:37,,Not certified (> 65% Grade)
22890823,0.02,3/11/2019 22:56,3/11/2019 22:57,,Not certified (> 65% Grade)
22890827,0.37,3/11/2019 22:57,3/11/2019 22:57,,Not certified (> 65% Grade)
22891963,0.45,3/12/2019 1:39,3/12/2019 1:40,,Not certified (> 65% Grade)
22899445,0.66,3/12/2019 15:32,3/12/2019 16:14,Pass,Certified (< 65% Grade)
22899628,0.47,3/12/2019 15:45,3/12/2019 16:27,,Not certified (> 65% Grade)
22900204,0.4,3/12/2019 16:30,3/12/2019 16:35,,Not certified (> 65% Grade)
22900214,0.17,3/12/2019 16:31,3/12/2019 16:35,,Not certified (> 65% Grade)
22900437,0.47,3/12/2019 16:49,3/12/2019 16:57,,Not certified (> 65% Grade)
22900463,0.39,3/12/2019 16:51,3/12/2019 17:09,,Not certified (> 65% Grade)
22900626,0.39,3/12/2019 17:07,3/12/2019 17:10,,Not certified (> 65% Grade)
22900977,0.7,3/12/2019 17:37,3/12/2019 17:38,Pass,Certified (< 65% Grade)
22901385,0.17,3/12/2019 18:13,3/12/2019 18:13,,Not certified (> 65% Grade)
22901585,0.3,3/12/2019 18:31,3/12/2019 18:33,,Not certified (> 65% Grade)
22901783,0.24,3/12/2019 18:47,3/12/2019 18:49,,Not certified (> 65% Grade)
22900468,0.32,3/12/2019 16:52,3/12/2019 18:50,,Not certified (> 65% Grade)
22901966,0.46,3/12/2019 19:06,3/12/2019 19:22,,Not certified (> 65% Grade)
22902417,0.24,3/12/2019 19:50,3/12/2019 19:51,,Not certified (> 65% Grade)
22902623,0.16,3/12/2019 20:12,3/12/2019 20:13,,Not certified (> 65% Grade)
22900813,0.04,3/12/2019 17:23,3/12/2019 21:00,,Not certified (> 65% Grade)
22903543,0.3,3/12/2019 22:02,3/12/2019 22:40,,Not certified (> 65% Grade)
22905304,0.55,3/13/2019 2:14,3/13/2019 2:16,,Not certified (> 65% Grade)
22908148,0.7,3/13/2019 8:49,3/13/2019 8:50,Pass,Certified (< 65% Grade)
22906796,0.02,3/13/2019 5:47,3/13/2019 10:11,,Not certified (> 65% Grade)
22909863,0.4,3/13/2019 12:07,3/13/2019 12:10,,Not certified (> 65% Grade)
10682767,0.17,5/23/2016 14:56,3/13/2019 13:07,,Not certified (> 65% Grade)
22913375,0.24,3/13/2019 16:59,3/13/2019 17:00,,Not certified (> 65% Grade)
22916934,0.51,3/13/2019 22:33,3/13/2019 22:34,,Not certified (> 65% Grade)
22924037,0.24,3/14/2019 12:35,3/14/2019 12:36,,Not certified (> 65% Grade)
22928179,0.53,3/14/2019 18:22,3/14/2019 18:23,,Not certified (> 65% Grade)
22930920,0.15,3/14/2019 23:35,3/14/2019 23:37,,Not certified (> 65% Grade)
23023961,0.17,3/22/2019 21:07,3/22/2019 21:14,,Not certified (> 65% Grade)
