id,courseID,mod_type,order,chapterModLabel,stds,count,x,y
cc4ddef5bbbe48ebb605141b347c4ed1,MITxPRO+LASERxB1+1T2019,problem,156,Week 1: Strategy (2.5 hrs),34,109,-1860.7067f,-1806.1512f
f4ce60b4a944484082ccb701b48b3da1,MITxPRO+LASERxB1+1T2019,html,157,Week 1: Strategy (2.5 hrs),9,15,-1960.9465f,-1711.255f
d313cec988a84645bee413e8d4724a4b,MITxPRO+LASERxB1+1T2019,poll,158,Week 1: Strategy (2.5 hrs),34,248,-1784.2783f,-1556.6188f
dc60696c76a74368a60f72246e47700d,MITxPRO+LASERxB1+1T2019,problem,159,Week 1: Strategy (2.5 hrs),34,82,-1755.5325f,-1429.5947f
78adeee1fa2c4fe0bc73f7bca9fcee86,MITxPRO+LASERxB1+1T2019,html,160,Week 1: Strategy (2.5 hrs),34,344,-1257.7241f,-535.79175f
6fdb4db5d6dd41b296c156e9e31f6ae8,MITxPRO+LASERxB1+1T2019,html,161,Week 1: Strategy (2.5 hrs),0,0,1066.6217f,-655.5809f
f8c6e9dd315640039488619b16128971,MITxPRO+LASERxB1+1T2019,html,162,Week 1: Strategy (2.5 hrs),3,10,-1573.4829f,-23.491999f
8959e6304a0348309a771e4d08d1b64a,MITxPRO+LASERxB1+1T2019,html,163,Week 1: Strategy (2.5 hrs),21,47,-1429.1855f,-261.51663f
65202579580f4ad38d734b4ee39d22a8,MITxPRO+LASERxB1+1T2019,openassessment,164,Week 1: Strategy (2.5 hrs),34,2668,-1207.8329f,-304.71982f
3cbcea2be0984e7dbd5a48195af10ce7,MITxPRO+LASERxB1+1T2019,html,165,Week 1: Strategy (2.5 hrs),34,170,-904.35614f,-469.31757f
26836bccf4174cc5af819c2e237f9300,MITxPRO+LASERxB1+1T2019,html,166,Week 1: Strategy (2.5 hrs),0,0,-692.7085f,-10.26167f
82e6285962b8400d9d6fc32436022a94,MITxPRO+LASERxB1+1T2019,lti_consumer,167,Week 1: Strategy (2.5 hrs),34,95,-809.0026f,-367.62894f
a9ac840f098c4bd0a2ee896214ce29cd,MITxPRO+LASERxB1+1T2019,html,168,Week 1: Strategy (2.5 hrs),33,139,-702.5477f,-671.3837f
0c7262dff33c4087bc660ccf40f92f9c,MITxPRO+LASERxB1+1T2019,html,169,Week 2: Products (2.5 hrs),34,413,-532.0179f,-1344.6451f
1202ed221196417faa16c4348aed3971,MITxPRO+LASERxB1+1T2019,html,170,Week 2: Products (2.5 hrs),0,0,426.94577f,-146.72783f
